token_text,start_capital,all_capital,capital_ratio,length,vowel_ratio,number_of_vowels,numeric_charecter,numeric_ratio,number_of_nonAlphanumeric,nonAlphanumericRatio,previous_word_text,prev_start_capital,prev_all_capital,prev_capital_ratio,prev_length,prev_vowel_ratio,prev_number_of_vowels,prev_numeric_charecter,prev_numeric_ratio,prev_number_of_nonAlphanumeric,prev_nonAlphanumericRatio,next_word_text,next_start_capital,next_all_capital,next_capital_ratio,next_length,next_vowel_ratio,next_number_of_vowels,next_numeric_charecter,next_numeric_ratio,next_number_of_nonAlphanumeric,next_nonAlphanumericRatio,class
Administration,1,0,0.07142857142857142,14,1.3333333333333333,6.0,0.0,0.0,0.0,0.0,Space,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,7
kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,Administration,1,0,0.07142857142857142,14,1.3333333333333333,6.0,0.0,0.0,0.0,0.0,sGVKi2laGP,0,0,0.5,10,3.5,2.0,1.0,0.1,0.0,0.0,9
sGVKi2laGP,0,0,0.5,10,3.5,2.0,1.0,0.1,0.0,0.0,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,,0,0,0.13554890742616754,5,1.4964489669205872,2.191983268080553,0.3418293487263652,0.09682480324805473,0.0008907158816281317,0.0001037393138522617,11
03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.13258371179693074,5,1.4308376750852465,2.1842534340233226,0.33383576655775726,0.10197852571863611,0.001027819478318218,0.00012122500715514401,1923,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,11
1923,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Time,1,0,0.25,4,1.0,2.0,0.0,0.0,0.0,0.0,11
Time,1,0,0.25,4,1.0,2.0,0.0,0.0,0.0,0.0,1923,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,dergisinin,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,7
dergisinin,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,Time,1,0,0.25,4,1.0,2.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,7
ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,dergisinin,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,sayýsý,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,11
sayýsý,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,yayýmlandý,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,11
yayýmlandý,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,sayýsý,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,pkM676plxY,0,0,0.2,10,7.0,0.0,3.0,0.3,0.0,0.0,11
pkM676plxY,0,0,0.2,10,7.0,0.0,3.0,0.3,0.0,0.0,yayýmlandý,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,,0,0,0.13555819032627892,5,1.4965514493864769,2.1921333833570955,0.34185275848863933,0.09683143417554742,0.0008907768812091224,0.00010373931385226172,11
03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.13259279162926854,5,1.4309356642425597,2.1844030199316933,0.3338586288893938,0.10198550959246973,0.0010278898672703013,0.00012122500715514401,1875,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,11
1875,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Kapalý,1,0,0.16666666666666666,6,1.0,3.0,0.0,0.0,0.0,0.0,11
Kapalý,1,0,0.16666666666666666,6,1.0,3.0,0.0,0.0,0.0,0.0,1875,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,alanda,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,11
alanda,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,Kapalý,1,0,0.16666666666666666,6,1.0,3.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,11
ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,alanda,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,buz,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,11
buz,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,hokeyi,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,6
hokeyi,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,buz,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Montreal,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,6
Montreal,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,hokeyi,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,de,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,8
de,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,Montreal,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,oynandý,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,11
oynandý,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,de,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,,0,0,0.1355674738621183,5,1.4966539388707523,2.192283508914099,0.34187616985410224,0.09683806555715099,0.0008908378849675944,0.00010373931385226172,9
02,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.13260187208342752,5,1.4310336601105396,2.1845526160842703,0.33388149278672913,0.10199249394458537,0.0010279602610428853,0.00012122500715514401,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,11
03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,02,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,1962,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,11
